"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Likes,Shares,Comments,Saves,Reach,Follows
18496574452049170,17841400282623291,scefinternational,"Street Children Empowerment Foundation","We’re celebrating 15 years of impact at the 2025 Global Conference! 

From our journey of empowering street-connected children in Ghana to unveiling our bold new brand, this virtual event is set to inspire change. 

Don’t miss engaging conversations with our leaders, partners, and change-makers as we reflect, rebrand, and reignite a future of sustainable impact.

Register using the link in our bio!!

#scefat15 #scefrebrand #freethechildren",0,"03/27/2025 02:16",https://www.instagram.com/p/DHsosJvoe7s/,"IG image",,Lifetime,884,27,2,2,0,,
18053879276330014,17841405985702474,interactivedigi,"INTERACTIVE DIGITAL","At @scefinternational @15, our very own @cocoaasekrakye is rolling in to share the strategies behind SCEF’s magnificent rebrand; one that reflects @interactivedigi’s ethos of Excellent Quality Delivery.

We’re proud to help shape a brighter future for street children through bold designs, a captivating vision and storytelling that inspires.

Be there, witness the change, and be part of the movement!

#BrandID #SCEFAt15 #DigitalForGood #FreeTheChildren #SCEFRebrand",0,"03/27/2025 08:50",https://www.instagram.com/p/DHtVt71MIZw/,"IG image",,Lifetime,1792,76,1,12,5,681,0
18061327862050963,17841405985702474,interactivedigi,"INTERACTIVE DIGITAL","You held your ground in faith through long briefs, tight deadlines, and endless reverts. Discipline met devotion, and now, the reward is yours. Chop your blessings. Eid Mubarak!

#RamadanKareem #EidMubarak #BrandID",0,"03/31/2025 04:22",https://www.instagram.com/p/DH3KUQFsCQZ/,"IG image",,Lifetime,853,40,0,0,1,293,0
18052627919219118,17841405985702474,interactivedigi,"INTERACTIVE DIGITAL","Creating with @scefinternational was a joy, and seeing it all come together at their recent stakeholder symposium was the cherry on top. 
@cocoaasekrakye took the stage for @interactivedigi, walking everyone through the heart and thinking behind the rebrand. More than just a facelift, it was a full-circle moment of purpose, pride, and powerful storytelling.

#BrandID #SCEFRebrand #SCEFAt15 #FreeTheChildren",80,"04/14/2025 02:06",https://www.instagram.com/reel/DIa9zFlsFUb/,"IG reel",,Lifetime,900,61,2,5,1,530,2
17870554389344920,17841405985702474,interactivedigi,"INTERACTIVE DIGITAL","Is kenkey a luxury meal now?
One day, kenkey was a humble street food. The next, it’s flexing with a 7-cedi price tag like it just signed a record deal. So we hit the streets to find out; who’s gassing it up? Influencers? The dollar? Or is kenkey just feeling itself these days?

Tap in to see how it unfolds, let’s settle this once and for all.

#BrandID #AfricanMeals #DigitalCreators #JamesTown",186,"04/17/2025 03:35",https://www.instagram.com/reel/DIi15dsMi6t/,"IG reel",,Lifetime,5699,451,14,13,15,3757,10
18051668105040687,17841405985702474,interactivedigi,"INTERACTIVE DIGITAL","Happy Good Friday! Love carried the mission, and just like Him, we move with purpose every day. 

#HappyGoodFriday",0,"04/18/2025 03:25",https://www.instagram.com/p/DIlaBllscU7/,"IG image",,Lifetime,937,35,2,0,0,308,0
17852374467431625,17841405985702474,interactivedigi,"INTERACTIVE DIGITAL","From an empty tomb to a full heart, this Easter, we remember the beauty of being there for one another, just like Christ is there for us. 

Happy Easter from all of us at Interactive Digital!

#HeIsRisen #HappyEaster",0,"04/20/2025 02:36",https://www.instagram.com/p/DIqeDPZsaCo/,"IG carousel",,Lifetime,1162,52,1,3,0,368,0
17963791427879801,17841405985702474,interactivedigi,"INTERACTIVE DIGITAL","Oops did we spill? Just a lil’ something called strategy, creativity, and results at its peak. At Interactive Digital, we flow different.

#BrandID #DigitalMarketers #Brands #ContentCreators #AgencyLife",17,"04/25/2025 09:06",https://www.instagram.com/reel/DI4Co8cMHeB/,"IG reel",,Lifetime,4316,67,5,5,1,3126,2
18039614309624726,17841405985702474,interactivedigi,"INTERACTIVE DIGITAL","“We listen but we don't judge - because we can relate! Happy Workers' Day to the real MVPs keeping the world running. You've earned that rest!""

#WorkersDay #HappyHoliday #BrandID",66,"05/01/2025 07:29",https://www.instagram.com/reel/DJHTriMNK7o/,"IG reel",,Lifetime,770,51,7,4,0,441,0
18038835569546132,17841470069850781,swaybyid_,SWAY!,"There is that one colleague with a  water bottle that can make the earth’s tectonic plates shift.

Tag your office Hydration Hulk!😆

#SwayByID #DigitalLife #ContentCreation #StayHydrated",17,"05/07/2025 09:52",https://www.instagram.com/reel/DJXBYeVIpOX/,"IG reel",,Lifetime,1671,74,9,7,0,,
